ticker,entry_date,horizon,status,sentiment_score,sentiment_bucket,pnl_pct,sizing_multiplier,adjusted_pnl,is_win
HCLTECH.NS,2026-06-18,BTST_1d,EXPIRED_LOSS,62,YELLOW_ALERT,0.0,0.85,0.0,False
ADANIGREEN.NS,2026-06-18,BTST_1d,EXPIRED_LOSS,62,YELLOW_ALERT,0.0,0.85,0.0,False
AARTIIND.NS,2026-06-18,BTST_1d,EXPIRED_LOSS,62,YELLOW_ALERT,0.0,0.85,0.0,False
BSE.NS,2026-06-18,BTST_1d,EXPIRED_LOSS,62,YELLOW_ALERT,0.0,0.85,0.0,False
CASTROLIND.NS,2026-06-18,BTST_1d,EXPIRED_LOSS,62,YELLOW_ALERT,0.0,0.85,0.0,False
FORTIS.NS,2026-06-18,BTST_1d,EXPIRED_LOSS,62,YELLOW_ALERT,0.0,0.85,0.0,False
UNITDSPR.NS,2026-06-18,BTST_1d,EXPIRED_LOSS,62,YELLOW_ALERT,0.0,0.85,0.0,False
SUNTECK.NS,2026-06-18,BTST_1d,EXPIRED_LOSS,62,YELLOW_ALERT,0.0,0.85,0.0,False
TCS.NS,2026-06-18,BTST_1d,EXPIRED_LOSS,62,YELLOW_ALERT,0.0,0.85,0.0,False
HEROMOTOCO.NS,2026-06-18,BTST_1d,EXPIRED_LOSS,62,YELLOW_ALERT,0.0,0.85,0.0,False
ADANIENT.NS,2026-06-16,BTST_1d,EXPIRED_LOSS,56,YELLOW_ALERT,-1.41,0.85,-1.1985,False
ASIANPAINT.NS,2026-06-16,BTST_1d,EXPIRED_LOSS,56,YELLOW_ALERT,-1.15,0.85,-0.9775,False
GRASIM.NS,2026-06-16,BTST_1d,EXPIRED_LOSS,56,YELLOW_ALERT,-1.44,0.85,-1.224,False
TATACONSUM.NS,2026-06-16,BTST_1d,EXPIRED_LOSS,56,YELLOW_ALERT,-0.91,0.85,-0.7735,False
ADANIGREEN.NS,2026-06-16,BTST_1d,EXPIRED_LOSS,56,YELLOW_ALERT,-1.8,0.85,-1.53,False
BERGEPAINT.NS,2026-06-16,BTST_1d,EXPIRED_LOSS,56,YELLOW_ALERT,-0.79,0.85,-0.6715,False
BIOCON.NS,2026-06-16,BTST_1d,EXPIRED_LOSS,56,YELLOW_ALERT,-1.96,0.85,-1.666,False
COLPAL.NS,2026-06-16,BTST_1d,EXPIRED_LOSS,56,YELLOW_ALERT,-1.51,0.85,-1.2835,False
COLPAL.NS,2026-06-16,Swing_3d,EXPIRED_LOSS,56,YELLOW_ALERT,0.0,0.85,0.0,False
CESC.NS,2026-06-16,BTST_1d,EXPIRED_LOSS,56,YELLOW_ALERT,-1.35,0.85,-1.1475,False
GRANULES.NS,2026-06-16,BTST_1d,EXPIRED_LOSS,56,YELLOW_ALERT,-1.11,0.85,-0.9435,False
MARICO.NS,2026-06-16,BTST_1d,EXPIRED_LOSS,56,YELLOW_ALERT,-2.24,0.85,-1.904,False
ZEEL.NS,2026-06-16,BTST_1d,EXPIRED_LOSS,56,YELLOW_ALERT,-0.5,0.85,-0.425,False
ADANIPOWER.NS,2026-06-16,BTST_1d,EXPIRED_LOSS,56,YELLOW_ALERT,-1.49,0.85,-1.2665,False
OFSS.NS,2026-06-16,BTST_1d,EXPIRED_LOSS,56,YELLOW_ALERT,-0.4,0.85,-0.34,False
BHEL.NS,2026-06-16,BTST_1d,EXPIRED_LOSS,56,YELLOW_ALERT,-0.03,0.85,-0.0255,False
SUPREMEIND.NS,2026-06-16,BTST_1d,EXPIRED_LOSS,56,YELLOW_ALERT,-2.16,0.85,-1.836,False
TIMKEN.NS,2026-06-16,Swing_3d,EXPIRED_LOSS,56,YELLOW_ALERT,0.0,0.85,0.0,False
ICICIBANK.NS,2026-06-16,BTST_1d,EXPIRED_WIN,56,YELLOW_ALERT,0.3,0.85,0.255,True
TATASTEEL.NS,2026-06-16,BTST_1d,EXPIRED_WIN,56,YELLOW_ALERT,1.13,0.85,0.9605,True
IOC.NS,2026-06-16,BTST_1d,EXPIRED_WIN,56,YELLOW_ALERT,0.75,0.85,0.6375,True
PNB.NS,2026-06-16,BTST_1d,EXPIRED_WIN,56,YELLOW_ALERT,0.65,0.85,0.5525,True
CANFINHOME.NS,2026-06-16,BTST_1d,EXPIRED_WIN,56,YELLOW_ALERT,0.21,0.85,0.1785,True
SUNDRMFAST.NS,2026-06-16,BTST_1d,EXPIRED_WIN,56,YELLOW_ALERT,0.23,0.85,0.1955,True
VEDL.NS,2026-06-16,BTST_1d,EXPIRED_WIN,56,YELLOW_ALERT,1.62,0.85,1.377,True
WIPRO.NS,2026-06-16,BTST_1d,EXPIRED_WIN,56,YELLOW_ALERT,1.37,0.85,1.1645,True
HINDALCO.NS,2026-06-16,BTST_1d,EXPIRED_WIN,56,YELLOW_ALERT,1.55,0.85,1.3175,True
BAJAJ-AUTO.NS,2026-06-16,BTST_1d,EXPIRED_WIN,56,YELLOW_ALERT,0.52,0.85,0.442,True
PFC.NS,2026-06-16,BTST_1d,EXPIRED_WIN,56,YELLOW_ALERT,0.72,0.85,0.612,True
HONAUT.NS,2026-06-16,BTST_1d,EXPIRED_WIN,56,YELLOW_ALERT,0.89,0.85,0.7565,True
KIMS.NS,2026-06-16,BTST_1d,EXPIRED_WIN,56,YELLOW_ALERT,1.95,0.85,1.6575,True
SHREECEM.NS,2026-06-16,BTST_1d,EXPIRED_WIN,56,YELLOW_ALERT,0.16,0.85,0.136,True
TATACHEM.NS,2026-06-16,BTST_1d,EXPIRED_WIN,56,YELLOW_ALERT,0.46,0.85,0.391,True
HINDPETRO.NS,2026-06-16,BTST_1d,EXPIRED_WIN,56,YELLOW_ALERT,0.55,0.85,0.4675,True
CIPLA.NS,2026-06-16,BTST_1d,LOST,56,YELLOW_ALERT,-2.42,0.85,-2.057,False
FACT.NS,2026-06-16,BTST_1d,WON,56,YELLOW_ALERT,3.75,0.85,3.1875,True
TIMKEN.NS,2026-06-16,BTST_1d,WON,56,YELLOW_ALERT,3.75,0.85,3.1875,True
POLYCAB.NS,2026-06-16,BTST_1d,WON,56,YELLOW_ALERT,3.75,0.85,3.1875,True
BHEL.NS,2026-06-15,BTST_1d,EXPIRED_LOSS,64,YELLOW_ALERT,-0.08,0.85,-0.068,False
CROMPTON.NS,2026-06-15,BTST_1d,EXPIRED_LOSS,64,YELLOW_ALERT,-0.21,0.85,-0.1785,False
WHIRLPOOL.NS,2026-06-15,BTST_1d,EXPIRED_LOSS,64,YELLOW_ALERT,-0.18,0.85,-0.153,False
HAL.NS,2026-06-15,BTST_1d,EXPIRED_LOSS,64,YELLOW_ALERT,-1.21,0.85,-1.0285,False
TITAN.NS,2026-06-15,BTST_1d,EXPIRED_WIN,64,YELLOW_ALERT,0.61,0.85,0.5185,True
ADANIENT.NS,2026-06-15,BTST_1d,EXPIRED_WIN,64,YELLOW_ALERT,0.81,0.85,0.6885,True
TATACONSUM.NS,2026-06-15,BTST_1d,EXPIRED_WIN,64,YELLOW_ALERT,2.05,0.85,1.7425,True
TRENT.NS,2026-06-15,BTST_1d,EXPIRED_WIN,64,YELLOW_ALERT,0.25,0.85,0.2125,True
ABB.NS,2026-06-15,BTST_1d,EXPIRED_WIN,64,YELLOW_ALERT,1.31,0.85,1.1135,True
COFORGE.NS,2026-06-15,BTST_1d,EXPIRED_WIN,64,YELLOW_ALERT,2.53,0.85,2.1505,True
MANAPPURAM.NS,2026-06-15,BTST_1d,EXPIRED_WIN,64,YELLOW_ALERT,0.35,0.85,0.2975,True
MARICO.NS,2026-06-15,BTST_1d,EXPIRED_WIN,64,YELLOW_ALERT,0.73,0.85,0.6205,True
MARICO.NS,2026-06-15,Swing_3d,EXPIRED_WIN,64,YELLOW_ALERT,1.78,0.85,1.513,True
PHOENIXLTD.NS,2026-06-15,BTST_1d,EXPIRED_WIN,64,YELLOW_ALERT,1.51,0.85,1.2835,True
COALINDIA.NS,2026-06-15,BTST_1d,EXPIRED_WIN,64,YELLOW_ALERT,0.86,0.85,0.731,True
SIEMENS.NS,2026-06-15,BTST_1d,EXPIRED_WIN,64,YELLOW_ALERT,0.58,0.85,0.493,True
TATAPOWER.NS,2026-06-15,BTST_1d,EXPIRED_WIN,64,YELLOW_ALERT,0.35,0.85,0.2975,True
MARICO.NS,2026-06-15,Swing_5d,LOST,64,YELLOW_ALERT,-1.76,0.85,-1.496,False
ASIANPAINT.NS,2026-06-12,Swing_5d,EXPIRED_LOSS,46,YELLOW_ALERT,0.0,0.85,0.0,False
KIMS.NS,2026-06-12,BTST_1d,EXPIRED_LOSS,46,YELLOW_ALERT,-0.39,0.85,-0.3315,False
ASIANPAINT.NS,2026-06-12,Swing_3d,EXPIRED_WIN,46,YELLOW_ALERT,0.43,0.85,0.3655,True
COALINDIA.NS,2026-06-12,BTST_1d,EXPIRED_WIN,46,YELLOW_ALERT,0.4,0.85,0.34,True
SRF.NS,2026-06-12,BTST_1d,EXPIRED_WIN,46,YELLOW_ALERT,1.26,0.85,1.071,True
CUB.NS,2026-06-12,BTST_1d,EXPIRED_WIN,46,YELLOW_ALERT,1.44,0.85,1.224,True
LICHSGFIN.NS,2026-06-12,BTST_1d,EXPIRED_WIN,46,YELLOW_ALERT,2.96,0.85,2.516,True
